County,Average_rent,count
 Oakland ,570.4285714285714,14
 Washtenaw ,500.14285714285717,14
 Saint Clair ,418.46153846153845,13
 Ottawa ,449.5,12
 Wayne ,468.90909090909093,11
 Kalamazoo ,466.8181818181818,11
 Saginaw ,336.54545454545456,11
 Saint Joseph ,346.3,10
 Genesee ,399.22222222222223,9
 Ingham ,397.0,9
 Allegan ,372.6666666666667,9
 Monroe ,437.0,9
 Van Buren ,363.125,8
 Calhoun ,369.25,8
 Branch ,230.75,8
 Lenawee ,405.25,8
 Montcalm ,433.75,8
 Leelanau ,444.57142857142856,7
 Berrien ,368.0,7
 Lapeer ,372.14285714285717,7
 Shiawassee ,348.85714285714283,7
 Midland ,326.0,7
 Eaton ,384.14285714285717,7
 Ionia ,399.2857142857143,7
 Bay ,320.7142857142857,7
 Livingston ,417.0,6
 Muskegon ,450.3333333333333,6
 Kent ,472.0,6
 Newaygo ,299.6,5
 Tuscola ,298.8,5
 Jackson ,398.6,5
 Macomb ,562.0,5
 Otsego ,348.6,5
 Sanilac ,383.0,4
 Hillsdale ,281.25,4
 Clinton ,491.6666666666667,3
 Emmet ,933.3333333333334,3
 Wexford ,341.6666666666667,3
 Cass ,307.3333333333333,3
 Isabella ,295.0,3
 Mecosta ,285.0,3
 Huron ,277.0,3
 Mason ,391.0,2
 Gratiot ,363.5,2
 Clare ,351.0,2
 Barry ,347.5,2
 Oceana ,260.0,2
 Gladwin ,280.0,1
 Iron ,250.0,1
 Oscoda ,700.0,1
 Marquette ,230.0,1
